Seniūnija,Rūšis,Objektas,Administratorius,Adresas,Paskirtis,Sezoniškumas,Būklė,Įrengimo/ renovacijos data,Užimtumas
Vilijampolė,Vidaus,Sporto salė,Kauno Jono ir Petro Vileišių mokykla,Demokratų g. 36,"Bendras fizinis rengimas, kvadratas,tinklinis",nėra,Gera,Nenumatyta,Mokyklos reikmėms iki 15 val. Nuomojama iki 22 val. 
Vilijampolė,Vidaus,Mažoji sporto salė,Kauno Jono ir Petro Vileišių mokykla,Demokratų g. 36,"Bendras fizinis rengimas, kvadratas ",nėra,Gera,Nenumatyta,"Mokyklos reikmėms iki 13 val., nuomojama iki 21 val. "
Vilijampolė,Vidaus,Gimnastikos salė,Kauno Jono ir Petro Vileišių mokykla,Demokratų g. 36,Bendras fizinis rengimas ,nėra,Renovuota,Nėra poreikio ,Mokyklos reikmėms iki 12 val. Išnuomota iki 20 val. 30 min. 
Vilijampolė,Lauko ,Stadionas ,Kauno Jono ir Petro Vileišių mokykla,A.Stulginskio g. 61,"Bendras fizinis rengimas, futbolas, krepšinis",yra ,Renovuotina,Nenumatyta,Mokyklos reikmėms. 
Vilijampolė,Vidaus,Sporto salė,Kauno Jono ir Petro Vileišių mokykla,A.Stulginskio g. 61,"Bendras fizinis rengimas, futbolas, krepšinis, tinklinis, kvadratas",nėra,Patenkinama,Nenumatyta,Mokyklos reikmėms iki 15 val. Išnuomota kiekvieną dieną iki 21:30. 
Vilijampolė,Vidaus,Sporto minkšta danga,Kauno Jono ir Petro Vileišių mokykla,A.Stulginskio g. 61,Bendras fizinis rengimas,nėra,Renovuotina,Nenumatyta,Mokyklos reikmėms iki 13 val. Išnuomota nuo 16 iki 20 val. 
Vilijampolė,Vidaus,Choreografijos salė,Kauno Jono ir Petro Vileišių mokykla,A.Stulginskio g. 61,Choreografijos pamokos,nėra,Renovuotina,Nenumatyta,Mokyklos reikmėms trečiadieniais iki 16 val. Nuomojama Pirmadieniais ir trečiadiniais nuo 18 iki 19 val. 
Vilijampolė,Vidaus,Baseinas,Kauno plaukimo mokykla,Demokratų g. 34,"plaukimas, šuoliai į vandenį, šiuolaikinė penkiakovė, 
neįgalieji- kurtieji",nėra,Gera,2017 m.,"Mokyklos reikmėms. 
Treniruotės d.d. 6.00-19.30 val. 
šeštadieniais 7.00-14.30 val.
Paslaugos gyventojams 
d.d. 8.00-13.00, 19.30-21.30 val.
šeštadieniais 11.00-13.00 val."
Vilijampolė,Vidaus,Treniruolių salė,"SM ""Bangpūtys""",Gervių g. 5,Bendras fizinis rengimas,nėra,renovuotina,,mokyklos reikmėms d.d. 8.00-19.00 val.
Vilijampolė,Lauko,Sporto aikštelė,"SM ""Bangpūtys""",Gervių g. 5,"Krepšinis, futbolas",yra,renovuotina,,mokyklos reikmėms d.d. 12.00-20.00 val.
Vilijampolė,Vidaus,Dviračių sporto bazė,"SM ""GAJA""",A.Stulginskio g. 61,Dviračių sportas,nėra,"Patenkinama, reikalingas remontas",Patalpos gautos 2018 m. rugsėjo mėn.,Mokyklos reikmėms 
Vilijampolė,Lauko,Stadionas,"SM ""Tauras""",Neries kr. 7B,futbolas: treniruotės ir varžybos,yra ,Gera,2015 m.,mokyklos reikmėms visomis savaitės dienomis
Vilijampolė,Vidaus,Treniruoklių salė,"SM ""Tauras""",Neries kr. 7B,futbolas:bendras fizinis rengimas,nėra,Gera,2016 m.,mokyklos reikmėms visomis savaitės dienomis
Vilijampolė,Vidaus,Dengtas stadionas,"SM ""Tauras""",Jovarų g. 4,"Futbolas, regbis, žolės riedulys",nėra,Statomas,2019 m.,
