Seniūnija,Rūšis,Objektas,Administratorius,Adresas,Paskirtis,Sezoniškumas,Būklė,Įrengimo/ renovacijos data,Užimtumas
Dainava,Vidaus,Sporto salė,"Kauno ""Varpelio"" pradinė mokykla",Vakarų g. 15,"Krepšinis, gimnastika",nėra,"gera, tačiau labai maža ir neaukšta -70 m²",2016 m.,mokyklos reikmėms d.d. 8.00-17.00 val.
Dainava,lauko,"lauko treniruokliai, gimnastikos įrenginiai","Kauno ,,Vyturio"" gimnazija",Taikos pr.51,bendras fizinis rengimas,yra ,gera,2018 m.,mokyklos reikmėms d.d 8.00-16.15 val.
Dainava,lauko,stadionas,"Kauno ,,Vyturio"" gimnazija",Taikos pr.51,"futbolas, lengvoji atletika, bendras fizinis rengimas",yra ,gera,2018 m.,mokyklos reikmėms d.d 8.00-16.15 val.
Dainava,lauko,krepšinio aikštelė,"Kauno ,,Vyturio"" gimnazija",Taikos pr.51,krepšinis,yra ,gera,2015 m.,mokyklos reikmėms d.d 8.00-16.15 val.
Dainava,lauko,vaikų žaidimų aikštelė 6-12 m. vaikams,"Kauno ,,Vyturio"" gimnazija",Taikos pr.51,"bendras fizinis parengimas, laisvalaikio užimtumas 6-12 m. vaikams",yra ,gera,2018 m.,mokyklos reikmėms d.d 8.00-16.15 val.
Dainava,vidaus,sporto salė,"Kauno ,,Vyturio"" gimnazija",Taikos pr.51,"krepšinis, tinklinis , gimnastika, bendras fizinis rengimas",nėra,gera,"2006m., atnaujinta grindų  danga 2017 m., apšvietimas 2018 m.","mokyklos reikmėms d.d 8.00-16.15 val., 16.30-20.00 Kauno krepšinio mokykla ,,Žalgiris"""
Dainava,vidaus,Sporto salė,KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA,V.KRĖVĖS PR. 50,"krepšinis, tinklinis, futbolas",nėra,"pakeista grindų danga, atliktas paprastas sienų remontas",2015 m. įrengta šiuolaikinė grindų danga,"Mokykla ""Startas"" - tinklinio treniruotės, mokykla ""Tauras"" - futbolas, Krepšinio mokykla ""Perkūnas"" - krepšinis."
Dainava,vidaus,bokso/karatė sporto salė,KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA,V.KRĖVĖS PR. 50,"boksas, karatė",nėra,šiemet atliktas kosmetinis remontas,2006 m. įrengta. Šiemet atliktas remontas.,"Mokyklos neformalaus švietimo pamokos. Kudo klubas ""Cunamis"""
Dainava,vidaus,treniruoklių salė,KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA,V.KRĖVĖS PR. 50,kūno rengyba,nėra,puiki,"2014 m. atliktas remontas. Perkami treniruokliai. Įrengta speciali grindų danga, veidrodžiai",mokyklos reikmėms
Dainava,Lauko,Stadionas,KAUNO ALEKSANDRO PUŠKINO GIMNAZIJA/ V.Kuprevičiaus mokykla,V.KRĖVĖS PR. 50,"Futbolas, regbis, žolės riedulys",nėra,PUIKI,2017-2018,mes 
Dainava,Lauko,Futbolo aikštynas,Kauno Aleksandro Stulginskio mokykla- dc,Partizanų g. 152,"Futbolas, regbis, lengvoji atletika",nėra,gera,2016 m.,"mokyklos reikmėms darbo dienomis 8:00  - 16:00, kitu laiku - bendruomenė"
Dainava,Vidaus,Sporto salė,Kauno Aleksandro Stulginskio mokykla- dc,Partizanų g. 152,"Futbolas, krepšinis, lengvoji atletika",nėra,gera,,"mokyklos reikmėms d.d. 8:00  - 16:00, d.d. 17:30 - 20:30 KM""Žalgiris"""
Dainava,Lauko,Universali žaidimų aikštelė,Kauno Aleksandro Stulginskio mokykla- dc,Partizanų g. 152,"Futbolas, regbis, lengvoji atletika",nėra,patenkinama,,"mokyklos reikmėms darbo dienomis 8:00  - 16:00, kitu laiku - bendruomenė"
Dainava,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",Kauno Bernardo Brazdžionio mokykla,Partizanų g. 22,bendras fizinis rengimas,nėra,Gera,2017 m.,mokyklos ir mikrorajono gyventojų reikmėms
Dainava,Lauko,Stadionas,Kauno Bernardo Brazdžionio mokykla,Partizanų g. 22,bendras fizinis rengimas,yra ,Renovuotinas,,mokyklos reikmėms
Dainava,Lauko,Krepšinio aikštelė,Kauno Bernardo Brazdžionio mokykla,Partizanų g. 22,krepšinis,yra ,Renovuotina,,mokyklos ir mikrorajono gyventojų reikmėms
Dainava,Vidaus,Sporto salė,Kauno Bernardo Brazdžionio mokykla,Partizanų g. 22,"Krepšinis, futbolas",nėra,Renovuotina,,"mokyklos reikmėms d.d. Išnuomota I, II, III, IV - 16.00 - 20.30 val., V- 16.00 - 19.00 val."
Dainava,lauko,Stadionas,Kauno Dainavos progimnazija,Partizanų g. 118,futbolas,yra,renovuotina,,"Futbolas 18.00-19.30,"
Dainava,lauko ,Krepšinio aikštelė,Kauno Dainavos progimnazija,Partizanų g. 118,krepšinis,yra,renovuotina,,
Dainava,Vidaus,Sporto salė,Kauno Dainavos progimnazija,Partizanų g. 118,"Krepšinis,futbolas",nėra,renovuotina,,"Išnuomota I-V 15.00-19.30 sporto mokykloms, I-IV 19.30-22.00 privatiems asmenims"
Dainava,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",Kauno Viktoro Kuprevičiaus progimnazija,"Kovo 11-osios 94, Kaunas",bendras fizinis rengimas,nėra,Gera,2018,"Mokyklos reikmėms (pamokos, treniruotės, būreliai) - 8,00-15,00;, bendruomenės užsiėmimai, SM ,,Tauras"", Sm ,,Startas"",SM ,,Žalgiris"""
Dainava,Lauko,Stadionas,Kauno Viktoro Kuprevičiaus progimnazija,"Kovo 11-osios 94, Kaunas","Futbolas, regbis, lengvoji atletika",yra ,Renovuotina,2018,"Mokyklos reikmėms (pamokos, treniruotės, būreliai) - 8,00-15,00;, bendruomenės užsiėmimai, SM ,,Tauras"", SM ,,Startas"",SM ,,Žalgiris"""
Dainava,Lauko,Krepšinio aikštelė,Kauno Viktoro Kuprevičiaus progimnazija,"Kovo 11-osios 94, Kaunas",krepšinis,nėra,Renovuota,2018,"Mokyklos reikmėms (pamokos, treniruotės, būreliai) - 8,00-15,00;, bendruomenės užsiėmimai, SM ,,Tauras"", SM ,,Startas"",SM ,,Žalgiris""(krepšinis)"
Dainava,Vidaus ,Sporto salė,Kauno Viktoro Kuprevičiaus progimnazija,"Kovo 11-osios 94, Kaunas","Krepšinis, gimnastika",nėra,reikalingas remontas,,"Mokyklos reikmėms (pamokos, treniruotės, būreliai) - 8,00-15,00;, bendruomenės užsiėmimai, SM ,,Tauras"",SM ,,Startas"", SM ,,Žalgiris"" ; Išnuomojama salė bus tik nuo 20,30 iki 20,00 val."
Dainava,vidaus,Sporto salės 4 ,"KM ""žalgiris""",Pašilės g. 41,Krepšinis,nėra,gera,2004 m.,Mokyklos reikmėms             d.d. I-V 14.30 - 22.00 val.  Šestadienį 9.00-15.00 val.
Dainava,Vidaus,"Administracinis pastatas, sporto salės","SM ""GAJA""",Partizanų g. 180,"Šachmatai, stalo tenisas, laisvosios imtynės, dviračiai",nėra,Gera,,Mokyklos reikmėms 
Dainava,Vidaus,Treniruoklių salė,"SM ""Tauras""",Krėvės 63,regbis:bendras fizinis rengimas,nėra,Gera,2013,mokyklos reikmėms visomis savaitės dienomis
Dainava,Lauko,Stadionas,"SM ""Tauras""",Partizanų 192,"Regbis: treniruotės, varžybos",yra ,Renovuojamas,2019 m.,
Dainava,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai","VDU ""Atžalyno"" progimnazija","Partizanų g. 46, Kaunas",bendras fizinis rengimas,nėra,Renovuota,2017 m.,mokyklos 8.00-15.00 val.; bendruomenės reikmėms kai nevyksta užsiėmimai 
Dainava,Lauko,Stadionas,"VDU ""Atžalyno"" progimnazija","Partizanų g. 46, Kaunas","Futbolas, regbis, lengvoji atletika",yra ,Renovuota,2017 m.,mokyklos 8.00-15.00 val.; bendruomenės reikmėms kai nevyksta užsiėmimai 
Dainava,Lauko,Krepšinio aikštelė,"VDU ""Atžalyno"" progimnazija","Partizanų g. 46, Kaunas",krepšinis,yra ,Renovuota,2017 m.,mokyklos 8.00-15.00 val.; bendruomenės reikmėms kai nevyksta užsiėmimai 
Dainava,Vidaus,Sporto salė,"VDU ""Atžalyno"" progimnazija","Partizanų g. 46, Kaunas","Krepšinis, gimnastika",yra ,Renovuota,2014 m.,mokyklos reikmėms 8.00-15.30 val.; neformaliam švietimui 15.30-18.30 val; Išnuomota 18.30-22.00 val.
Dainava ,Lauko,Lauko treniruokliai,Juozo Urbšio katalikiška pagrindinė mokykla,Partizanų g. 68,bendras fizinis rengimas,nėra,Gera,2016,Mokyklos reikmėms -d.d pamokų metu.
Dainava ,Lauko,Futbolo aikštė,Juozo Urbšio katalikiška pagrindinė mokykla,Partizanų g. 69,"Futbolas, regbis, lengvoji atletika",yra ,Gera,2016,"Mokyklos reikmėms  - d.d.pamokų metu, sporto mokyklos- I-IV  16.00-21.00, V-16.00-19.00  - bendruomenė"
Dainava ,Lauko,Krepšinio aikštelė,Juozo Urbšio katalikiška pagrindinė mokykla,Partizanų g. 70,krepšinis,yra ,Gera,2016,"Mokyklos reikmėms  - d.d.pamokų metu, po pamokų - vietinė bendruomenė"
Dainava ,Lauko,Universali aikštelė,Juozo Urbšio katalikiška pagrindinė mokykla,Partizanų g. 71,krepšinis,yra ,Gera,2016,"Mokyklos reikmėms  - d.d.pamokų metu, po pamokų - vietinė bendruomenė"
Dainava ,Vidaus,Sporto salė,Juozo Urbšio katalikiška pagrindinė mokykla,Partizanų g. 72,"Krepšinis, tinklinis, regbis, orientacinis.",nėra,Gera,2016,"Mokyklos reikmėms  - d.d.pamokų metu,  I -15.30-19.30,(sporto mokyklos), 19.30-21.00 (mokyklos bendruomenė), II  -15.45-18.45(sporto mokyklos), 18.45-21.00 (mokyklos bendruomenė)III, IV, V-14.15 - 20.30(sporto mokyklos)"
Dainava ,Vidaus,Baseinas,Kauno plaukimo mokykla,Partizanų g. 46,"plaukimas, vandensvydis",nėra,Gera,2004 m.,"Mokyklos reikmėms. 
Treniruotės d.d. 6.00-19.30 val. 
šeštadieniais 7.00-16.00 val.
Paslaugos gyventojams 
d.d. 8.00-13.00, 19.30-21.30 val.
šeštadieniais 11.00-13.00 val."
Eiguliai,Lauko,Kvadrato aikštelė (standartinė),"""Paparčio"" pradinė mokykla",Šiaurės pr. 35,"bendras fizinis rengimas, kvadratas",yra ,Gera, įrengta 2015 m.,mokyklos reikmėms  d.d nuo 8.00 iki 15.00
Eiguliai,Lauko,Futbolo vartai (maža aikštelė mokyklos kieme),"""Paparčio"" pradinė mokykla",Šiaurės pr. 35,"Futbolas, beizbolas,",yra ,patenkinama,,mokyklos reikmėms  d.d nuo 8.00 iki 15.00
Eiguliai,Vidaus,Sporto salė (plotas mažas ir tik vienas krepšinio lankas),"""Paparčio"" pradinė mokykla",Šiaurės pr. 35,"Krepšinis, joga",nėra,patenkinama, įrengta 2000 m.,mokyklos reikmėms  d.d nuo 8.00 iki 15.00
Eiguliai,Lauko,"Lauko treniruokliai, ",Generolo Povilo Plechavičiaus kadetų licėjus,Žeimenos g. 66,bendras fizinis rengimas,nėra,Gera,2018 m.,Mokyklos reikmėms d.d  8.00 - 19.00 val.
Eiguliai,Lauko,Stadionas,Generolo Povilo Plechavičiaus kadetų licėjus,Žeimenos g. 66,"Futbolas, regbis, lengvoji atletika",nėra,Gera,2018 m.,Mokyklos reikmėms darbo dienomis 8.00 - 19.00 val.
Eiguliai,Lauko,Universali lauko aikštelė,Generolo Povilo Plechavičiaus kadetų licėjus,Žeimenos g. 66,"krepšinis, rankinis",nėra,gera,2018 m.,Mokyklos reikmėms darbo dienomis 8.00 - 19.00 val.
Eiguliai,Vidaus,Sporto salė,Generolo Povilo Plechavičiaus kadetų licėjus,Žeimenos g. 66,"Krepšinis, gimnastika, bendras fizinis rengimas",nėra,Renovuotina,,Mokyklos reikmėms darbo dienomis 8.00 - 19.00 val.
Eiguliai,Lauko,Stadionas,Kauno A. Žikevičiaus saugaus vaiko m-kla,Ašigalio g. 23,"Bendras fizinis rengimas, futbolas",nėra,Renovuotina,,"Mokyklos, Pilėnų progimnazijos, Všį ""Būk savimi"", mikrorajono gyventojų reikmėms"
Eiguliai,Lauko,Stadionas,Kauno Antano Smetonos gimnazija,Geležinio Vilko g. 28,"futbolas, regbis, lengvoji atletika",yra ,renovuotinas,,mokyklos reikmėms d.d. 8.00-14.00 val.
Eiguliai,Lauko,Krepšinio aikštelė,Kauno Antano Smetonos gimnazija,Geležinio Vilko g. 28,krepšinis,nėra,renovuotina,2007 m.,mokyklos reikmėms d.d. 8.00-14.00 val.
Eiguliai,Vidaus,Sporto salė,Kauno Antano Smetonos gimnazija,Geležinio Vilko g. 28,"krepšinis, rankinis",nėra,gera,2014 m.,"mokyklos reikmėms d.d. 8.00-15.00; Išnuomota II, IV 15.15-22.30; I, III 16.30-22.30; V 16.30-20.30; VI 9.00-12.00; VII 10.00-13.00."
Eiguliai,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",Kauno Kazio Griniaus progimnazija,Šiaurės pr.97,bendras fizinis rengimas,nėra,patenkinama,2012,bendruomenei
Eiguliai,Lauko,Stadionas,Kauno Kazio Griniaus progimnazija,Šiaurės pr.97,"Futbolas, regbis, lengvoji atletika",nėra,Renovuotina,1982,mokyklos reikmėms d.d. 8.00-15.00 val.
Eiguliai,Lauko,Krepšinio aikštelė,Kauno Kazio Griniaus progimnazija,Šiaurės pr.97,krepšinis,nėra,Renovuotina,2006,mokyklos reikmėms d.d. 8.00-15.00 val.
Eiguliai,Vidaus,Sporto salė,Kauno Kazio Griniaus progimnazija,Šiaurės pr.97,Krepšinis,nėra,Renovuotina,2004,"mokyklos reikmėms d.d. 8.00 - 15.00 val. Išnuomota I, III, 15.00 - 21.00 val.; II-V 15.00-21.00 val."
Eiguliai,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",Kauno Pilėnų progimnazija,Ašigalio g.23,Bendras fizinis rengimas,pagal oro sąlygas,Gera,2013,Mokyklos ir bendruomenės reikmėms
Eiguliai,Lauko,"Lygiagretės, skersiniai",Kauno Pilėnų progimnazija,Šiaurės pr.73,Bendras fizinis rengimas,pagal oro sąlygas,Gera,2017,Mokyklos ir bendruomenės reikmėms
Eiguliai,Lauko,Stadionas,Kauno Pilėnų progimnazija,Šiaurės pr.73,"Futbolas, lengvoji atletika",pagal oro sąlygas,Gera,2017,Mokyklos ir bendruomenės reikmėms
Eiguliai,Lauko,Krepšinio aikštelė,Kauno Pilėnų progimnazija,Šiaurės pr.73,Krepšinis,pagal oro sąlygas,Gera,2017,Mokyklos ir bendruomenės reikmėms
Eiguliai,Lauko ,Daugiafunkcinė sporto aikštelė,Kauno Pilėnų progimnazija,Šiaurės pr.73,Kvadratas,pagal oro sąlygas,Gera,2017,Mokyklos ir bendruomenės reikmėms
Eiguliai,Vidaus,Sporto salė,Kauno Pilėnų progimnazija,Šiaurės pr.73,"Orientacinis, rankinis, regbis",nėra,Vidutinė,2014,"Mokyklos, sporto mokyklų reikmėms. Nuo 19 val. -nuoma"
Eiguliai,Lauko,Lauko krepšinio aikštelė,Martyno Mažvydo progimnazija,Šiaurės pr. 55,krepšinis,yra ,Gera,2006 m.,mokyklos ir gyventojų reikmėms
Eiguliai,Lauko,Stadionas (rekonstruojamas),Martyno Mažvydo progimnazija,Šiaurės pr. 55,"Futbolas,, lengvoji atletika, krepšinis, kvadratas, tinklinis",yra ,Renovuojamas,2018-08-07 - 2018-11-06,mokyklos ir gyventojų reikmėms
Eiguliai,Vidaus,Aktų salė,Martyno Mažvydo progimnazija,Šiaurės pr. 55,gimnastika,nėra,gera,2009-2011 m.,mokyklos ir sporto mokyklos gimnastikos reikmėms (8-20.00)
Eiguliai,Vidaus,Sporto salė,Martyno Mažvydo progimnazija,Šiaurės pr. 55,"Krepšinis, gimnastika, futbolas",yra ,Renovuota,2009-2011 m.,"mokyklos ir sporto mokyklų gimnastikos, krepšinio ir futbolo reikmėms  (8.00 - 20.30 val.) d.d. ir šeštadienį 10.00- 14.00 val."
Eiguliai,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai","VDU ,,Rasos"" gimnazija",P. Lukšio g. 40,bendras fizinis rengimas,nėra,Gera,2018 m.,mokyklos reikmėms d.d. 8.00 - 16.00 val. 
Eiguliai,Lauko,Stadionas,"VDU ,,Rasos"" gimnazija",P. Lukšio g. 40,"futbolas,  lengvoji atletika",yra ,Gera,2018 m.,mokyklos reikmėms d.d. 8.00 - 16.00 val. 
Eiguliai,Lauko,Krepšinio aikštelė,"VDU ,,Rasos"" gimnazija",P. Lukšio g. 40,krepšinis,nėra,Gera,2018 m.,mokyklos reikmėms d.d. 8.00 - 16.00 val. 
Eiguliai,Lauko,Futbolo aikštelė,"VDU ,,Rasos"" gimnazija",P. Lukšio g. 40,futbolas ,nėra,Gera,2018 m.,mokyklos reikmėms d.d. 8.00 - 16.00 val. 
Eiguliai,Vidaus,Sporto salė (krepšinio aikštelė),"VDU ,,Rasos"" gimnazija",P. Lukšio g. 40,"Krepšinis, gimnastika",nėra,patenkinama,,"mokyklos reikmėms d.d. 8.00 - 16.00 val. Klubas ,,Tornado"" -pirmadieniais, trečiadieniais-16.00-19.00, penktadieniais  16.00-18.00; klubas  ,,Žalgiris"" -antradieniais, ketvirtadieniais 16.00-19.00, penktadieniais -18.00-20.00; d. d. mokyklos bendruomenė 20.00-21.30; šeštadieniais gimnazija uždaryta, sekmadieniais mokyklos bendruomenė 8.00-12.00 "
Eiguliai ,Vidaus,Sporto klasė,Kauno Suzukio pradinė mokykla ,Šiaurės pr. 23,"bendrasis fizinis rengimas; karatė, joga",nėra,Renovuotina,,"mokyklos reikmėms darbo dienomis; planuojama išnomuoti karatė, jogai nuo 2018-10-01"
Gričiupis,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai","""Varpo"" gimnazija",Rytų g. 19,Bendras fizinis rengimas,nėra,Gera,2017,"mokyklos reikmėms d.d. 8.00-15.00 val., likęs laikas skirtas bendruomenės reikmėms"
Gričiupis,Lauko,Mini futbolo aikštelė,"""Varpo"" gimnazija",Rytų g. 19,"Futbolas,  krepšinis",yra ,Gera,2012,"mokyklos reikmėms d.d. 8.00-15.00 val., likęs laikas skirtas bendruomenės reikmėms"
Gričiupis,Lauko,Krepšinio aikštelė,"""Varpo"" gimnazija",Rytų g. 19,Krepšinis,yra ,Gera,2017,"mokyklos reikmėms d.d. 8.00-15.00 val., likęs laikas skirtas bendruomenės reikmėms"
Gričiupis,Lauko,Tinklinio-lauko teniso aikštelė,"""Varpo"" gimnazija",Rytų g. 19,"Tinklinis, lauko tenisas",yra ,Gera,2017,"mokyklos reikmėms d.d. 8.00-15.00 val., likęs laikas skirtas bendruomenės reikmėms"
Gričiupis,Vidaus,Sporto salė,"""Varpo"" gimnazija",Rytų g. 19,"Krepšinis, gimnastika",nėra,Gera,"1981, dalinai renovuota 2012","mokyklos reikmėms d.d. 8.00-16.00 val., išnuomota 16.00-21.30 val."
Gričiupis,Vidaus,Treniruoklių salė (mažoji) ,"""Varpo"" gimnazija",Rytų g. 19,Bendras fizinis rengimas,nėra,Gera,"1981, dalinai renovuota 2012",mokyklos reikmėms
Gričiupis,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai","Kauno ""Nemuno"" mokykla",A. ir J. Gravrogkų 9,bendras fizinis rengimas,nėra,Gera,,mokyklos reikmėms          d.d. 8.00-16.00 val.kitu laiku bendruomenės reikmėms
Gričiupis,Lauko,Krepšinio aikštelė,"Kauno ""Nemuno"" mokykla",A. ir J. Gravrogkų 9,"Krepšinis, judrieji žaidimai, bendras fizinis rengimas",nėra,gera,,mokyklos reikmėms           d.d. 8.00-18.00                                 kitu laiku bendruomenės reikmėms
Gričiupis,Vidaus,Aerobikos salytė,"Kauno ""Nemuno"" mokykla",A. ir J. Gravrogkų 9,"Aerobika, šokis, gimnastika, bendras fizinis rengimas",nėra,gera,,Mokyklos reikmėms          d.d. 8.00- 16.00 val.                             Išnuomota                              I ir II 18.00-19.00                                                                   I ir III 19.30-20.30
Gričiupis,Vidaus,Sporto salė,"Kauno ""Nemuno"" mokykla",A. ir J. Gravrogkų 9,"Krepšinis, tinklinis, bendras fizinis rengimas, meninė gimnastika",nėra,Renovuotina,,remontuojama
Gričiupis,Vidaus,Sporto  salė,"Kauno ""Nemuno"" mokykla",A. ir J. Gravrogkų 11,"meninė gimnastika, bendras fizinis rengimas",nėra,Gera,,Mokyklos reikmėms          d.d. 8.00- 16.00 val.
Gričiupis,Vidaus,Sporto/Aktų  salė,"Kauno ""Nemuno"" mokykla",A. ir J. Gravrogkų 11,"meninė gimnastika, bendras fizinis rengimas, judrieji žaidimai",nėra,Gera,,"Mokyklos reikmėms               d.d. 8-16 val.,                                         Išnuomota                             IV 16.00-17.30 "
Gričiupis,Vidaus,Sporto/Aktų  salė,"Kauno ""Nemuno"" mokykla",A. ir J. Gravrogkų 13,"meninė gimnastika, bendras fizinis rengimas, judrieji žaidimai",nėra,Gera,,"Mokyklos reikmėms               d.d. 8-16 val.,                   Išnuomota                                                II 16.00-17.30"
Gričiupis,Vidaus,Sporto salė,Kauno Bernardo Brazdžionio mokykla,Radvilėnų pl. 7,,nėra,Renovuotina,,"mokyklos reikmėms d.d. išnuomota - I - 15.00 - 21.45 val., II - 16.00 - 20.00 val., III - 15.00 - 21.15 val., IV - 15.00 - 22.00 val., V - 16.00 - 19.00 val. "
Gričiupis,Lauko,Krepšinio aikštelė,Kauno Bernardo Brazdžionio mokykla,Radvilėnų pl. 7,krepšinis,nėra,Renovuotina,,mokyklos ir mikrorajono gyventojų reikmėms
Gričiupis,Lauko,Stadionas,Kauno Jono Laužiko mokykla,Tunelio 41,"bočia,l.atletika, ",yra ,gera,2018m.,mokyklos reikmėms d.d. 15.00 - 20.00 val.  
Gričiupis,Lauko,Krepšinio aikštelė,Kauno Jono Laužiko mokykla,Tunelio 41,krepšinis,yra ,gera,2018m.,mokyklos reikmėms d.d. 8.00-20.00 val.
Gričiupis,vidaus,Nestandartinė sporto salė,Kauno Jono Laužiko mokykla,Tunelio 41,Bendras fizinis pasirengimas,nėra,gera,2015,mokyklos reikmėms d.d. 8.00-20.00 val.
Gričiupis,Lauko,Lauko treniruokliai.,Kovo 11-osios gimnazija,Kovo 11-osios g. 50,bendras fizinis rengimas,nėra,Gera,,
Gričiupis,Lauko,Stadionas,Kovo 11-osios gimnazija,Kovo 11-osios g. 50,"Futbolas, lengvoji atletika",yra ,Renovuotina,,mokyklos ir bendruomenės reikmėms.
Gričiupis,Lauko,Krepšinio aikštelė,Kovo 11-osios gimnazija,Kovo 11-osios g. 50,krepšinis,yra ,gera,,mokyklos ir bendruomenės reikmėms
Gričiupis,Vidaus,Sporto salė,Kovo 11-osios gimnazija,Kovo 11-osios g. 50,Krepšinis.,nėra,gera,,8.30-17.00 val.mokyklos reikmėms. Po 17.00 val. Išnuomuota.
Gričiupis,Lauko,Krepšinio aikštelė,"Mokykla-darželis ""Šviesa""",Rimvydo g. 20,"Krepšinis, bendras fizinis rengimas",yra ,patenkinama,2011 m.,Mokyklos reikmėms d.d.  8:00-18:00
Gričiupis,Lauko,Futbolo aukštelė,"Mokykla-darželis ""Šviesa""",Rimvydo g. 20,Futbolas,yra ,gera,2015 m.,Mokyklos reikmėms d.d.  8:00-18:00
Gričiupis,Lauko,Kvadrato aikštelė,"Mokykla-darželis ""Šviesa""",Rimvydo g. 20,"Bendras fizinis rengimas, kvadratas",yra ,gera,2008 m.,Mokyklos reikmėms d.d.  8:00-18:00
Gričiupis,Vidaus,Sporto salė,"Mokykla-darželis ""Šviesa""",Rimvydo g. 20,Bendras fizinis rengimas,nėra,gera,2016 m.,"Mokyklos reikmėms d.d. 8-14 val. Išnuomota  I, III- 14.15-15.00; 16:40-17:10; V-16:30-7:15."
Gričiupis,Vidaus,Gimnastikos salytė,"Mokykla-darželis ""Šviesa""",Rimvydo g. 20,"Sportinė gimnastika, krepšinis",nėra,Gera,2018 m.,"Mokyklos reikmėms d.d. 8-14 val. Išnuomota  II, IV-13:30-14:15;14:15-15:00; 16:45-17:15; V-14:20-15:20; 16:00-16:30; 16:45-17:15"
Gričiupis,Lauko,Stadionas,Simono Daukanto progimnazija,"Taikos pr. 68, Kaunas","Futbolas, regbis, lengvoji atletika",yra ,Renovuotina,2013,mokyklos reikmėms 8:00 - 17:00
Gričiupis,Lauko,Krepšinio aikštelė,Simono Daukanto progimnazija,"Taikos pr. 68, Kaunas",krepšinis,yra ,Renovuotina,2013,mokyklos reikmėms 8:00 - 17:00
Gričiupis,Vidaus,Sporto salė,Simono Daukanto progimnazija,"Taikos pr. 68, Kaunas","Krepšinis, gimnastika",nėra,Gera,2013,Mokyklos reikmėms 8:00 - 17:00 Išnuomota  I ir III - 17:00 - 20:30; II - 17:00-21:30; 1V ir V - 16:30 - 20:00
Gričiupis,Vidaus,Sporto salė,"SM ""GAJA""",K.Baršausko g. 66b.,"Boksas, orentavimosi sp., treniruoklių salės, šaudymas iš lanko.",nėra,Gera,,Mokyklos reikmėms 
Panemunė,Vidaus,Sporto salė,"Kauno ""Šilo prdinė mokykla",Kariūnų pl. 3,Krepšinis,nėra,Renovuotina,,mokyklos reikmėms d.d. 8.00-15.00 val.
Panemunė,Lauko,Krepšinio aikštelė,"Kauno ""Šilo"" pradinė mokykla",Kariūnų pl. 3,Krepšinis,Šiltuoju metų laiku,gera,,mokyklos reikmėms d.d. 8.00-15.00 val.
Panemunė,Lauko,Krepšinio aikštelė,Kauno Panemunės pradinė mokykla,Kariūnų pl. 5,"Bendras fizinis rengimas pagal ugdymo planą,  krepšinis",yra ,Gera,2008 m.,Mokyklos reikmėms I-V 8-15 val.
Panemunė,Lauko,Mažoji futbolo aikštelė,Kauno Panemunės pradinė mokykla,Kariūnų pl. 5,"Bendras fizinis rengimas pagal ugdymo planą, futbolas",yra ,Gera,2015 m.,"Mokyklos reikmėms  I-V 8-15 val.; futbolas (SM ""Tauras"")      I 15.30-17 val., II, IV 15-17 val."
Panemunė,Vidaus,Sporto salė,Kauno Panemunės pradinė mokykla,Kariūnų pl. 5,"Bendras fizinis rengimas pagal ugdymo planą, krepšinis, futbolas, karatė, meninė gimnastika, stalo tenisas",nėra,Gera,2007 m.,"Mokyklos reikmėms I, III, V 8- 13.15, II, IV 8-15 val.; futbolas (SM ""Tauras"")  I 15.30-17 val., II, IV 15-17 val.; stalo tenisas (SM ""Gaja"") I, II, IV, V 13.15-15 val.; krepšinis (""Nacionalinė krepšinio akademija)"" I, III, V 13.15-15.30 val.; karatė (VšĮ ""Kumštis"") I, III 19-21 val.; meninė gimnastika (VšĮ Meninės gimnastikos akademija) I, III, IV 17-19 val."
Panemunė,Lauko,"Lauko treniruokliai, gimnastikos įrenginiai",Kauno Rokų gimnazija,Vijūnų g. 2,bendras fizinis rengimas,nėra,Gera,Modernizuoti,Gimnazijos ir bendruomenės reikmėms
Panemunė,Lauko,Stadionas,Kauno Rokų gimnazija,Vijūnų g. 2,"Futbolas, regbis, lengvoji atletika",nėra,Gera,Modernizuoti,Gimnazijos ir bendruomenės reikmėms
Panemunė,Lauko,Krepšinio aikštelė,Kauno Rokų gimnazija,Vijūnų g. 2,krepšinis,nėra,gera,Modernizuoti,Gimnazijos ir bendruomenės reikmėms
Panemunė,Vidaus,Sporto salė,Kauno Rokų gimnazija,Vijūnų g. 2,"Krepšinis, tinklinis",nėra,Gera,Modernizuoti,"8.00-16.30 ugdymo procesui. III, V, 15.30-16.30 išnuomota, I,II,III, IV, V, 18.30 - 19.30 Išnuomota."
